25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"97,90","82,60","62,30","46,60","41,30","26,00","31,00","11,00","10,90",2064,"38,31"
"94,90","77,50","61,60","48,30","41,00","27,60","34,00","12,00","10,90",2036,"40,83"
"96,70","77,80","62,00","51,30","45,40","37,00","36,00","13,00","11,30",1790,"37,51"
"100,00","100,00","98,00","93,60","75,20","49,60","40,00","15,00","14,50",1688,"12,78"
"96,00","74,70","54,20","41,20","30,20","17,60","31,00","12,00","12,00",1937,"31,62"
"96,00","79,30","68,10","52,40","41,00","23,60","29,00","9,00","8,90",2035,"74,42"
"96,00","81,00","62,00","43,10","28,80","16,60","38,00","14,00","10,00",2046,"24,71"
"97,90","83,70","55,60","40,50","30,40","20,70","41,00","15,00","12,50",1931,"43,91"
"92,70","74,00","58,80","43,50","31,90","18,70","30,00","9,00","13,30",1931,"22,88"
"97,70","85,10","69,80","53,40","41,10","23,20","33,00","11,00","10,60",1979,"20,32"
"98,90","86,30","63,30","43,30","36,00","27,60","34,00","13,00","12,10",1938,"26,31"
"98,00","88,20","70,10","42,20","33,50","26,10","33,00","12,50","9,60",1996,"33,60"
"93,80","69,20","51,30","35,00","28,50","20,50","29,60","8,40","10,50",1994,"33,10"
"93,70","91,30","66,80","53,90","36,80","16,90","29,00","11,00","8,40",2035,"41,62"
"92,20","80,00","67,70","53,40","35,30","15,70","35,00","12,00","8,70",2029,"45,18"
"93,00","81,70","68,90","55,00","36,90","17,30","29,00","11,00","7,60",2081,"49,50"
"100,00","100,00","100,00","97,10","92,40","76,10","41,00","16,00","17,00",1592,"13,22"
"100,00","100,00","98,97","95,57","83,62","51,61","38,00","16,00","16,30",1603,"8,29"
"100,00","99,50","99,30","98,40","94,30","52,10","37,00","17,00","16,10",1762,"15,85"
"100,00","100,00","99,50","98,50","93,10","50,20","37,00","15,00","17,40",1664,"11,20"
"97,00","88,90","85,40","80,90","70,30","46,90","35,00","15,00","16,30",1595,"7,43"
"100,00","100,00","99,00","95,10","87,00","64,90","38,00","17,00","18,14",1570,"8,45"
"100,00","100,00","99,50","97,00","86,00","61,30","42,00","17,00","17,80",1618,"9,13"
"97,90","80,50","60,50","45,00","40,00","25,50","35,00","13,00","8,80",1947,"16,64"
"93,90","79,40","70,50","63,50","52,70","35,20","38,00","13,00","15,40",1849,"13,81"
"100,00","99,60","98,90","97,50","85,70","59,10","43,00","19,00","25,30",1510,"7,32"
"100,00","100,00","100,00","97,00","81,30","55,70","42,00","16,00","16,20",1543,"6,14"
"100,00","100,00","98,80","96,20","83,60","56,80","43,00","14,00","17,70",1640,"7,09"
"98,40","89,90","77,20","68,70","56,60","43,00","40,00","16,00","16,40",1690,"8,28"
"100,00","100,00","100,00","98,00","87,70","65,10","41,00","17,00","21,10",1409,"6,93"
"96,50","86,30","74,90","63,90","49,60","34,30","42,00","16,00","15,50",1803,"13,57"
"97,90","82,50","60,20","45,90","34,50","21,70","37,00","15,00","14,10",1855,"19,31"
"100,00","100,00","99,10","98,00","89,40","63,00","42,00","16,00","22,50",1510,"11,14"
"100,00","97,30","91,20","83,90","70,90","39,90","38,00","15,00","14,70",1740,"13,27"
"100,00","99,80","99,40","98,00","76,80","49,50","42,00","17,00","24,40",1564,"11,18"
"100,00","100,00","99,80","98,30","74,20","46,20","39,00","16,00","22,90",1588,"9,54"
"98,70","86,50","67,30","48,00","38,80","29,70","34,00","13,00","13,80",1873,"15,09"
"100,00","100,00","100,00","97,70","92,60","72,30","37,40","15,10","18,90",1707,"13,90"
"100,00","100,00","98,30","92,00","81,70","68,20","39,00","16,20","19,00",1565,"12,10"
"93,20","78,10","55,80","44,40","35,50","20,20","30,00","12,00","12,90",1889,"28,30"
"94,40","83,80","71,40","58,50","41,90","21,70","35,00","12,00","11,80",1824,"18,42"
"100,00","94,90","88,30","80,50","67,70","47,50","46,00","18,00","14,30",1713,"7,63"
"100,00","100,00","100,00","98,10","92,90","77,10","43,00","16,00","19,30",1519,"8,02"
"100,00","98,10","96,90","96,00","93,10","88,90","55,00","23,00","31,30",1437,"16,60"
"100,00","100,00","100,00","99,90","98,30","94,90","61,00","24,00","33,90",1375,"18,40"
"100,00","95,00","92,50","90,80","83,40","74,00","53,00","21,00","30,90",1412,"14,70"
"100,00","99,30","99,20","98,70","95,10","87,90","58,00","25,00","32,50",1347,"14,10"
"100,00","99,20","99,20","99,10","96,50","91,50","57,00","21,00","31,90",1347,"16,80"
"100,00","99,30","98,90","98,40","95,50","90,10","58,00","28,00","32,10",1416,"22,10"
"100,00","98,20","97,70","97,20","92,40","86,60","54,00","24,00","30,50",1422,"16,80"
"100,00","100,00","99,90","99,50","95,40","89,00","57,00","22,00","31,90",1411,"15,00"
"100,00","100,00","100,00","99,70","96,90","91,90","55,00","24,00","31,80",1380,"19,70"
"100,00","100,00","99,80","99,60","94,70","87,60","54,00","23,00","32,70",1366,"15,50"
"100,00","98,30","98,10","97,50","91,90","85,60","57,00","27,00","33,00",1376,"16,80"
"1000,00","99,80","99,60","99,30","91,80","83,70","54,00","20,00","30,80",1435,"9,30"
"1000,00","1000,00","99,90","99,70","98,00","94,10","57,00","26,00","30,50",1433,"15,90"
"1000,00","99,30","99,20","98,90","96,80","91,80","57,00","25,00","32,20",1410,"19,40"
"1000,00","1000,00","99,90","99,80","95,60","91,10","56,00","24,00","33,00",1358,"16,20"
"1000,00","99,20","98,80","98,50","95,00","88,30","61,00","30,00","34,30",1326,"11,30"
"100,00","96,20","95,60","94,70","90,20","83,90","57,00","22,00","31,30",1375,"13,20"
"100,00","98,90","97,30","95,40","90,70","84,40","58,00","24,00","32,50",1322,"12,20"
"100,00","100,00","99,90","99,70","85,60","49,70","53,00","19,00","31,70",1428,"17,60"
