No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR
617,100.0,88.45,78.39,70.02,64.79,46.79,27.0,11.0,9.3,2053,20.0
618,100.0,97.03,93.16,89.96,85.84,71.34,33.0,13.0,12.1,1873,30.0
619,88.57,80.36,65.34,56.59,22.72,2.49,23.0,6.0,9.3,2069,32.0
620,93.75,77.8,67.43,59.26,39.66,21.67,22.0,6.0,8.6,2073,30.0
621,97.89,92.88,85.97,80.32,70.62,51.73,39.0,16.0,16.8,1683,10.0
622,91.97,79.37,61.62,52.16,43.41,30.27,30.0,10.0,11.8,1909,19.5
623,90.73,73.78,57.5,47.64,35.87,30.94,28.0,8.0,11.6,1911,18.5
624,100.0,98.52,96.69,94.96,90.49,55.6,31.0,9.0,16.3,1738,8.5
625,98.49,81.64,60.84,43.29,30.39,20.69,38.0,15.0,11.6,1933,22.0
626,96.93,89.47,58.11,44.02,32.52,22.79,40.0,14.0,13.5,1908,40.0
627,100.0,99.93,98.0,97.04,90.78,70.75,39.0,13.0,22.2,1597,9.0
628,94.04,57.11,38.3,27.9,25.84,22.8,53.0,21.0,10.0,1886,35.0
629,96.84,52.03,38.53,27.85,26.54,23.09,49.0,17.0,8.9,1991,68.0
630,100.0,98.0,96.0,91.0,73.0,52.0,44.0,17.0,17.3,1641,10.5
631,100.0,98.0,86.0,64.0,32.0,22.0,36.0,15.0,11.5,1857,9.0
632,100.0,100.0,98.0,88.0,59.0,44.0,53.0,21.0,16.5,1632,10.5
633,100.0,98.0,96.0,73.0,41.0,29.0,42.0,19.0,14.3,1739,11.0
634,100.0,96.0,88.0,85.0,79.0,32.0,22.0,9.0,13.0,1868,8.0
635,100.0,100.0,99.0,96.0,93.0,65.0,33.0,13.0,16.4,1673,11.0
636,100.0,100.0,100.0,98.0,90.0,51.0,28.0,11.0,15.8,1742,7.2
637,100.0,81.2,66.2,56.4,43.9,28.2,36.3,11.0,15.5,1800,21.5
638,100.0,80.5,64.2,54.7,42.0,28.2,38.6,11.1,15.6,1919,29.1
639,100.0,74.6,56.1,42.4,32.1,20.5,36.5,11.4,11.5,1906,25.5
640,100.0,73.3,55.2,44.0,32.5,20.0,36.5,11.2,11.0,2040,47.9
641,100.0,81.4,64.7,56.4,44.9,31.6,34.0,11.2,16.1,1804,18.7
642,100.0,80.1,64.0,54.3,42.4,29.3,37.4,11.6,15.7,1889,29.6
643,100.0,75.7,60.3,49.2,38.0,25.2,37.2,11.3,12.6,1865,22.2
644,100.0,75.3,58.9,48.8,36.5,23.2,37.2,11.0,12.1,1963,43.5
645,100.0,77.9,59.1,45.6,33.6,20.4,38.2,11.8,12.12,1859,24.0
646,100.0,76.4,58.3,45.6,33.1,19.5,37.3,11.2,11.2,1992,46.8
647,100.0,100.0,99.9,99.2,80.9,53.4,37.0,8.0,21.2,1615,10.4
648,100.0,95.8,90.6,81.4,68.1,55.2,46.0,10.0,32.2,1300,23.5
649,100.0,99.6,98.5,97.8,93.0,69.3,37.0,12.0,22.0,1562,7.7
650,100.0,100.0,100.0,99.4,61.2,38.8,41.0,6.0,27.0,1420,14.7
651,100.0,100.0,100.0,99.4,62.2,38.8,41.0,6.0,24.8,1572,22.8
652,100.0,100.0,100.0,99.6,97.3,82.6,65.0,20.0,26.6,1320,5.0
653,100.0,92.6,84.0,78.1,70.8,61.0,40.0,10.0,26.2,1338,4.0
654,100.0,92.6,84.0,78.1,70.8,61.0,40.0,10.0,25.6,1548,14.0
655,100.0,99.4,97.4,94.0,88.2,76.6,45.0,10.0,21.2,1492,6.4
656,100.0,99.4,97.4,94.0,88.2,76.6,45.0,10.0,23.6,1500,9.9
657,100.0,100.0,100.0,99.9,99.0,85.7,64.0,13.0,21.0,1474,2.5
658,100.0,99.5,99.5,95.2,92.6,75.0,41.0,8.0,28.8,1389,9.8
659,100.0,99.5,99.5,95.2,92.6,75.0,41.0,8.0,27.0,1462,12.8
660,100.0,100.0,99.9,99.3,85.4,62.5,51.0,6.0,20.8,1246,8.8
661,100.0,100.0,99.9,99.3,85.4,62.5,51.0,6.0,18.6,1420,15.4
662,100.0,100.0,99.8,99.4,86.1,63.2,51.0,14.0,26.0,1240,9.0
663,100.0,100.0,99.2,98.9,96.6,51.0,36.0,9.0,21.2,1650,6.9
664,100.0,100.0,99.2,98.9,96.6,51.0,36.0,9.0,18.4,1690,8.4
665,100.0,100.0,99.3,99.2,97.2,89.3,50.0,10.0,28.8,1360,2.7
666,100.0,100.0,100.0,99.5,98.3,62.5,36.0,8.0,24.6,1550,18.0
667,100.0,100.0,100.0,99.5,98.3,62.5,36.0,8.0,21.8,1650,23.0
668,100.0,99.9,99.4,99.1,98.4,89.2,58.0,16.0,32.2,1308,4.8
669,100.0,99.7,99.3,99.1,98.0,66.5,48.0,7.0,21.2,1640,22.0
670,100.0,99.9,99.9,99.7,98.4,77.8,43.0,8.0,35.6,1210,4.5
671,100.0,100.0,100.0,99.9,98.3,83.9,61.0,12.0,36.0,1350,13.2
672,100.0,100.0,100.0,99.9,98.3,83.9,61.0,12.0,35.4,1370,13.2
673,100.0,100.0,100.0,99.5,97.8,89.0,76.0,28.0,23.3,1485,2.7
674,100.0,100.0,99.9,99.7,95.8,92.2,50.0,11.0,22.0,1562,12.4
675,100.0,100.0,99.9,99.7,95.8,92.2,50.0,11.0,22.4,1616,13.8
676,100.0,100.0,100.0,99.9,99.0,76.3,56.0,12.0,34.4,1335,11.5
677,100.0,92.9,87.8,82.6,65.7,38.7,46.0,14.0,30.6,1438,15.0
678,100.0,92.9,97.8,82.6,65.7,38.7,46.0,14.0,29.4,1540,18.8
679,100.0,100.0,100.0,100.0,93.1,78.3,54.0,13.0,29.0,1416,14.0
680,100.0,100.0,100.0,94.4,83.0,62.5,40.0,11.0,21.8,1450,9.6
681,100.0,99.1,93.8,85.6,79.3,56.7,38.0,8.0,29.6,1435,11.0
682,100.0,100.0,100.0,93.8,92.2,80.5,45.0,11.0,27.8,1442,24.5
683,100.0,100.0,100.0,99.6,98.6,58.3,38.0,7.0,21.8,1534,13.2
684,100.0,100.0,100.0,99.6,98.6,58.3,38.0,7.0,20.4,1540,14.5
685,100.0,100.0,99.9,99.5,97.7,60.0,35.0,6.0,20.2,1670,21.0
686,100.0,100.0,99.7,99.0,95.2,82.8,56.0,11.0,31.0,1364,12.4
687,100.0,100.0,99.7,97.5,95.8,82.9,49.0,13.0,29.4,1290,13.2
688,100.0,100.0,99.7,97.4,95.4,78.2,52.0,11.0,31.8,1310,12.4
689,100.0,100.0,99.7,97.4,95.4,78.2,52.0,11.0,30.6,1360,12.6
690,100.0,100.0,99.4,98.0,98.0,96.4,79.0,15.0,29.0,1260,2.5
691,100.0,100.0,99.4,98.0,98.0,96.4,79.0,19.0,28.8,1270,2.6
692,100.0,100.0,100.0,99.8,99.7,98.5,81.0,19.0,38.2,1150,4.6
693,100.0,100.0,100.0,99.8,99.7,98.5,81.0,16.0,36.6,1218,4.8
694,100.0,100.0,100.0,98.1,89.7,78.7,54.0,10.0,27.4,1414,8.5
695,100.0,100.0,100.0,98.1,89.7,78.7,54.0,10.0,27.0,1450,10.8
696,100.0,100.0,99.6,98.8,95.7,75.3,46.0,12.0,30.4,1392,13.8
697,100.0,100.0,100.0,99.9,98.8,79.8,41.0,9.0,27.0,1445,11.2
698,100.0,100.0,100.0,99.9,98.8,79.8,41.0,9.0,23.4,1494,14.0
699,100.0,100.0,100.0,99.8,95.2,82.6,46.0,8.0,29.6,1478,11.2
700,100.0,99.5,100.0,99.8,95.2,82.6,46.0,8.0,27.4,1524,20.4
701,100.0,100.0,99.3,99.7,96.3,67.8,46.0,8.0,25.4,1542,14.7
702,100.0,100.0,100.0,99.9,99.4,82.2,40.0,8.0,25.4,1532,14.4
703,100.0,100.0,100.0,99.7,99.5,74.1,41.0,8.0,25.4,1515,7.8
704,100.0,100.0,99.9,99.7,99.3,74.8,40.0,9.0,21.8,1574,21.8
705,100.0,99.0,99.9,95.8,99.3,74.8,40.0,9.0,20.6,1660,13.2
706,100.0,99.0,96.3,95.8,95.4,43.6,24.0,4.0,15.8,1808,11.2
707,100.0,100.0,96.3,99.8,95.4,43.6,24.0,4.0,14.8,1900,26.0
708,100.0,100.0,99.9,99.8,99.2,95.2,70.0,22.0,30.8,1380,2.5
709,100.0,100.0,99.9,99.5,93.0,95.2,70.0,22.0,29.6,1445,2.5
710,100.0,100.0,99.7,98.2,96.6,73.7,72.0,19.0,25.6,1462,2.6
711,100.0,100.0,99.6,98.2,96.6,60.7,30.0,6.0,20.0,1577,5.4
712,100.0,100.0,99.6,99.4,77.4,60.7,30.0,6.0,18.0,1620,11.2
713,100.0,100.0,100.0,98.3,98.3,81.0,44.0,9.0,29.0,1510,16.0
714,100.0,100.0,100.0,98.3,98.3,81.0,44.0,9.0,25.8,1540,19.5
715,100.0,100.0,100.0,99.1,98.0,79.2,41.0,7.0,22.6,1430,11.0
716,100.0,100.0,100.0,99.9,99.2,78.6,43.0,10.0,29.2,1420,12.8
717,100.0,100.0,100.0,99.9,99.2,78.6,43.0,10.0,28.0,1526,21.0
718,100.0,100.0,100.0,99.7,98.4,81.9,45.0,11.0,25.2,1520,19.5
719,100.0,100.0,99.8,99.1,92.5,68.6,44.0,8.0,31.0,1432,16.2
720,100.0,100.0,99.8,99.1,92.5,68.6,44.0,8.0,30.0,1435,20.0
721,100.0,100.0,100.0,99.9,90.7,63.1,45.0,9.0,16.6,1430,9.8
722,100.0,99.7,99.4,99.2,95.4,62.6,31.0,6.0,16.6,1648,9.8
723,100.0,99.7,99.4,99.2,95.4,62.6,31.0,6.0,16.2,1674,12.6
724,100.0,99.8,99.7,99.6,98.1,88.4,37.0,7.0,17.6,1712,16.2
725,100.0,100.0,100.0,100.0,99.1,91.4,41.0,5.0,30.8,1484,4.4
726,100.0,100.0,100.0,100.0,100.0,99.1,41.0,5.0,29.0,1498,8.4
727,100.0,100.0,100.0,99.8,99.8,99.4,44.0,7.0,28.8,1496,7.8
728,100.0,100.0,99.6,95.7,79.6,61.3,42.0,2.0,32.0,1446,5.8
729,100.0,100.0,99.6,95.7,79.6,61.3,42.0,2.0,29.8,1468,9.6
730,100.0,100.0,100.0,98.4,62.0,49.0,44.0,8.0,30.4,1542,33.2
731,100.0,100.0,100.0,99.8,98.2,82.5,43.0,10.0,30.2,1434,8.8
732,100.0,100.0,100.0,99.0,95.8,78.0,43.0,11.0,23.6,1530,18.0
733,100.0,100.0,100.0,99.6,97.2,84.0,40.0,7.0,31.2,1400,16.8
734,100.0,100.0,100.0,99.6,97.2,84.0,40.0,7.0,29.6,1450,19.0
735,100.0,100.0,100.0,99.9,99.2,85.0,42.0,5.0,30.4,1470,10.0
736,100.0,100.0,99.8,98.7,89.9,73.9,45.0,13.0,31.8,1480,4.0
737,100.0,100.0,99.8,98.7,89.9,73.9,45.0,13.0,31.2,1500,11.2
738,100.0,100.0,100.0,100.0,51.0,30.5,43.0,8.0,28.0,1520,12.2
739,100.0,100.0,100.0,99.5,97.3,90.3,43.0,10.0,29.0,1506,5.4
740,100.0,100.0,100.0,99.5,97.3,90.3,43.0,10.0,26.4,1560,13.0
741,100.0,100.0,99.9,99.7,98.1,81.4,47.0,8.0,25.0,1310,10.4
742,100.0,100.0,100.0,99.9,99.2,86.5,54.0,12.0,30.8,1464,15.8
743,100.0,100.0,100.0,99.9,99.5,63.0,29.0,4.0,20.8,1620,6.0
744,100.0,100.0,100.0,99.9,99.6,94.0,39.0,6.0,32.4,1464,8.6
745,100.0,100.0,100.0,99.9,99.6,94.0,39.0,6.0,26.6,1472,13.0
746,100.0,100.0,99.9,99.7,99.4,87.9,49.0,9.0,34.4,1410,4.8
747,100.0,100.0,99.9,99.5,96.4,87.3,38.0,6.0,28.6,1418,7.9
748,100.0,100.0,99.7,99.8,98.7,80.9,45.0,8.0,33.0,1464,6.6
749,100.0,100.0,100.0,99.8,98.7,80.9,45.0,8.0,26.6,1500,20.0
750,100.0,100.0,99.9,99.9,99.0,83.9,49.0,9.0,32.2,1448,14.4
751,100.0,98.0,98.0,98.7,89.3,73.0,43.0,7.0,28.0,1470,12.8
752,100.0,98.0,98.0,95.7,89.3,73.0,43.0,7.0,25.2,1480,13.2
753,100.0,90.4,90.4,86.5,82.3,76.4,56.0,21.0,31.8,1410,9.2
754,100.0,90.4,90.4,86.5,82.3,76.4,56.0,21.0,25.2,1466,13.4
755,100.0,99.8,99.8,99.4,98.7,92.8,48.0,6.0,30.6,1390,8.8
756,100.0,100.0,99.8,99.4,98.7,92.8,48.0,6.0,30.4,1458,13.2
757,100.0,100.0,100.0,99.6,98.4,90.7,49.0,7.0,32.4,1430,12.2
758,100.0,100.0,99.8,99.5,99.0,94.0,49.0,7.0,32.4,1400,8.4
759,100.0,100.0,100.0,99.8,99.4,92.5,48.0,9.0,33.4,1354,8.2
760,100.0,100.0,100.0,99.8,99.4,92.5,48.0,9.0,30.6,1386,2.2
761,100.0,100.0,100.0,99.7,99.2,83.0,51.0,10.0,30.6,1474,10.8
762,100.0,100.0,99.7,99.6,98.4,86.6,47.0,14.0,34.6,1370,7.8
763,100.0,100.0,99.7,99.6,98.4,86.6,47.0,14.0,33.8,1426,12.2
764,100.0,100.0,100.0,99.8,96.3,72.3,48.0,8.0,31.4,1506,13.2
765,100.0,100.0,99.8,99.5,98.6,87.2,46.0,10.0,30.6,1378,12.1
766,100.0,100.0,99.8,99.5,98.6,87.2,46.0,10.0,29.6,1438,16.4
767,100.0,100.0,100.0,99.5,96.2,74.5,50.0,12.0,31.2,1375,11.0
768,100.0,97.3,96.8,96.2,94.6,89.7,42.0,4.0,38.2,1336,7.8
769,100.0,97.3,96.8,96.2,94.6,89.7,42.0,4.0,36.4,1450,9.6
770,100.0,96.5,95.9,95.1,93.9,88.3,51.0,10.0,27.0,1445,15.2
771,100.0,100.0,99.9,99.5,97.8,91.6,47.0,8.0,25.4,1400,8.9
772,100.0,100.0,99.9,99.5,97.8,91.6,47.0,8.0,28.0,1510,10.0
773,100.0,100.0,99.7,99.3,97.6,90.9,47.0,14.0,33.0,1414,11.0
774,100.0,100.0,100.0,99.7,98.2,82.6,40.0,7.0,30.0,1450,2.4
775,100.0,100.0,100.0,99.7,98.2,82.6,40.0,7.0,28.2,1450,9.2
776,100.0,100.0,100.0,99.9,98.1,93.5,64.0,35.0,34.8,1285,9.2
777,100.0,100.0,100.0,99.9,98.1,93.5,64.0,35.0,33.0,1360,10.6
778,100.0,100.0,100.0,100.0,97.4,92.2,58.0,11.0,26.6,1376,11.0
779,100.0,100.0,99.9,98.8,99.4,71.3,36.0,8.0,26.0,1580,10.8
780,100.0,99.3,99.1,98.5,96.9,90.4,55.0,14.0,20.0,2180,3.7
781,100.0,100.0,100.0,99.8,98.7,83.8,48.0,10.0,29.6,1476,8.6
782,100.0,100.0,100.0,99.8,98.7,83.8,48.0,10.0,28.2,1494,17.0
783,100.0,100.0,100.0,100.0,98.9,84.0,46.0,7.0,31.4,1464,9.8
784,100.0,100.0,100.0,100.0,98.9,84.0,46.0,7.0,28.8,1526,18.0
785,100.0,100.0,99.8,99.6,98.7,63.5,36.0,9.0,17.0,1734,22.0
786,100.0,100.0,99.9,99.8,96.6,69.5,32.0,5.0,15.4,1680,5.1
787,100.0,100.0,99.9,99.9,99.5,48.7,20.0,4.0,13.6,1817,13.2
788,100.0,100.0,100.0,99.9,99.4,57.2,28.0,5.0,16.2,1780,14.4
789,100.0,100.0,100.0,99.7,98.6,60.4,29.0,8.0,15.6,1770,12.6
790,100.0,100.0,100.0,99.8,99.3,62.2,35.0,7.0,22.2,1568,12.0
791,100.0,100.0,100.0,99.7,97.1,62.1,39.0,11.0,22.0,1550,8.8
792,100.0,100.0,99.9,99.8,98.9,67.6,38.0,9.0,23.2,1652,12.4
793,100.0,100.0,100.0,99.9,99.4,89.4,43.0,8.0,36.0,1332,6.3
794,100.0,100.0,100.0,99.9,99.4,89.4,43.0,8.0,33.4,1384,12.0
795,100.0,100.0,99.9,99.6,98.2,87.9,46.0,10.0,32.2,1398,11.2
796,100.0,100.0,99.9,99.4,86.6,89.3,45.0,10.0,33.0,1390,8.9
797,100.0,100.0,99.6,99.4,86.6,89.3,45.0,10.0,31.0,1500,14.8
798,100.0,100.0,100.0,99.9,99.4,89.1,39.0,4.0,30.2,1464,16.4
799,100.0,95.4,93.6,90.4,77.6,63.1,37.0,7.0,21.6,1602,4.4
800,100.0,95.4,93.6,90.4,77.6,63.1,35.0,8.0,19.2,1694,86.0
