No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
577,100.0,100.0,99.9,99.8,99.3,96.0,82.0,42.0,31.3,1442.0,9.3,
578,100.0,100.0,99.9,99.8,99.3,96.0,82.0,42.0,30.5,1527.0,15.4,
579,100.0,100.0,100.0,99.9,99.4,96.0,58.0,18.0,30.0,1517.0,16.5,
580,100.0,100.0,100.0,99.8,99.1,95.7,65.0,31.0,30.1,1492.0,14.0,
581,100.0,100.0,100.0,99.9,99.4,94.6,56.0,25.0,30.9,1517.0,16.3,
582,100.0,100.0,100.0,99.9,99.5,94.7,61.0,29.0,29.9,1505.0,14.0,
583,100.0,100.0,100.0,99.8,97.7,88.9,49.0,20.0,30.5,1505.0,15.5,
584,100.0,100.0,100.0,99.8,99.4,96.1,47.0,13.0,31.4,1396.0,7.2,
585,100.0,100.0,100.0,99.8,99.4,96.1,47.0,13.0,30.0,1514.0,16.5,
586,100.0,100.0,100.0,99.9,98.2,86.2,50.0,24.0,30.6,1509.0,16.3,
587,100.0,100.0,100.0,99.9,98.5,91.8,53.0,24.0,29.1,1498.0,15.6,
588,100.0,100.0,100.0,99.8,98.5,90.6,56.0,28.0,30.6,1500.0,15.1,
589,100.0,100.0,100.0,99.9,98.8,86.1,54.0,23.0,29.9,1488.0,12.2,
590,100.0,100.0,100.0,100.0,98.9,86.4,49.0,20.0,29.8,1518.0,15.3,
591,100.0,100.0,100.0,100.0,98.4,84.7,48.0,22.0,28.7,1512.0,13.7,
592,100.0,100.0,100.0,99.9,99.0,95.3,52.0,22.0,30.7,1461.0,7.4,
593,100.0,100.0,100.0,99.7,98.5,95.4,64.0,28.0,29.3,1491.0,15.5,
594,100.0,100.0,100.0,99.9,99.3,94.4,57.0,24.0,31.5,1432.0,7.9,
595,100.0,100.0,99.39,98.48,89.06,49.99,29.0,9.0,12.1,1815.0,14.0,
596,100.0,100.0,84.82,74.77,62.74,40.19,33.0,11.0,16.5,1729.0,20.0,
597,100.0,95.22,95.98,94.45,72.86,36.65,30.0,9.0,16.5,1660.0,9.0,
599,100.0,98.3,90.7,83.41,73.01,44.72,36.0,15.0,16.2,1718.0,7.0,
600,100.0,99.33,92.99,88.84,83.58,57.63,35.0,13.0,20.2,1605.0,10.5,
601,100.0,100.0,100.0,99.12,77.31,35.04,31.0,12.0,10.7,1907.0,23.5,
602,100.0,100.0,99.08,97.5,93.78,57.99,38.0,16.0,18.0,1693.0,11.0,
603,100.0,100.0,96.21,93.92,86.27,49.44,34.0,12.0,19.8,1629.0,3.0,
604,100.0,100.0,98.16,96.75,90.54,39.64,28.0,11.0,15.4,1757.0,6.0,
605,100.0,100.0,94.33,91.22,81.52,44.63,33.0,13.0,16.6,1714.0,5.5,
606,100.0,100.0,95.45,92.04,78.95,44.65,38.0,16.0,18.8,1664.0,5.0,
607,100.0,99.6,97.86,93.91,83.39,48.05,34.0,17.0,16.3,1728.0,8.7,
608,95.7,72.52,49.07,32.01,20.02,12.11,37.0,13.0,12.7,1842.0,30.0,
609,97.61,65.4,45.43,32.08,24.46,16.31,35.0,12.0,9.0,2047.0,73.5,
610,100.0,73.58,48.19,36.83,31.29,23.57,41.0,14.0,14.8,1763.0,26.5,
611,100.0,75.21,46.49,33.01,26.26,20.89,42.0,14.0,14.6,1749.0,41.0,
612,99.29,73.42,45.21,30.99,26.59,19.17,32.0,11.0,12.7,1835.0,39.0,
613,100.0,70.32,49.13,35.02,29.55,17.55,29.0,10.0,10.1,1965.0,67.0,
614,100.0,73.87,55.6,40.63,35.15,18.89,28.0,9.0,10.5,1967.0,34.0,
615,96.89,72.84,48.56,35.55,27.78,15.82,33.0,12.0,10.0,2031.0,87.0,
616,100.0,66.54,43.56,34.16,31.13,23.5,40.0,13.0,13.8,1853.0,48.0,
617,97.13,53.56,35.97,27.92,25.43,19.72,37.0,11.0,12.8,1925.0,70.0,
618,95.83,68.69,57.7,47.73,35.78,20.55,28.0,12.0,7.7,2107.0,30.0,
619,95.46,83.8,64.04,51.58,42.23,27.7,30.0,12.0,13.4,1861.0,14.0,
620,100.0,79.34,64.36,53.1,42.53,24.54,22.0,8.0,7.2,2914.0,56.5,
621,100.0,88.96,68.61,66.88,57.57,38.29,35.0,13.0,16.9,1783.0,11.0,
622,97.67,85.0,74.61,62.47,50.58,33.46,26.0,9.0,8.4,2074.0,26.0,
623,100.0,88.45,78.39,70.02,64.79,46.79,27.0,11.0,9.3,2053.0,20.0,
624,100.0,97.03,93.16,89.96,85.84,71.34,33.0,13.0,12.1,1873.0,30.0,
625,88.57,80.36,65.34,56.59,22.72,2.49,23.0,6.0,9.3,2069.0,32.0,
626,93.75,77.8,67.43,59.26,39.66,21.67,22.0,6.0,8.6,2073.0,30.0,
627,97.89,92.88,85.97,80.32,70.62,51.73,39.0,16.0,16.8,1683.0,10.0,
628,91.97,79.37,61.62,52.16,43.41,30.27,30.0,10.0,11.8,1909.0,19.5,
629,90.73,73.78,57.5,47.64,35.87,30.94,28.0,8.0,11.6,1911.0,18.5,
630,100.0,98.52,96.69,94.96,90.49,55.6,31.0,9.0,16.3,1738.0,8.5,
631,98.49,81.64,60.84,43.29,30.39,20.69,38.0,15.0,11.6,1933.0,22.0,
632,96.93,89.47,58.11,44.02,32.52,22.79,40.0,14.0,13.5,1908.0,40.0,
633,100.0,99.93,98.0,97.04,90.78,70.75,39.0,13.0,22.2,1597.0,9.0,
634,94.04,57.11,38.3,27.9,25.84,22.8,53.0,21.0,10.0,1886.0,35.0,
635,96.84,52.03,38.53,27.85,26.54,23.09,49.0,17.0,8.9,1991.0,68.0,
636,100.0,98.0,96.0,91.0,73.0,52.0,44.0,17.0,17.3,1641.0,10.5,
637,100.0,98.0,86.0,64.0,32.0,22.0,36.0,15.0,11.5,1857.0,9.0,
638,100.0,100.0,98.0,88.0,59.0,44.0,53.0,21.0,16.5,1632.0,10.5,
639,100.0,98.0,96.0,73.0,41.0,29.0,42.0,19.0,14.3,1739.0,11.0,
640,100.0,96.0,88.0,85.0,79.0,32.0,22.0,9.0,13.0,1868.0,8.0,
641,100.0,100.0,99.0,96.0,93.0,65.0,33.0,13.0,16.4,1673.0,11.0,
642,100.0,100.0,100.0,98.0,90.0,51.0,28.0,11.0,15.8,1742.0,7.2,
643,100.0,100.0,100.0,99.7,92.4,63.5,39.0,14.6,14.8,1634.0,8.1,
644,100.0,99.1,97.0,94.9,80.5,61.5,35.5,8.5,12.3,1609.0,7.6,
645,100.0,98.7,96.7,94.5,77.5,53.7,34.5,8.9,12.3,1578.0,6.9,
646,100.0,81.2,66.2,56.4,43.9,28.2,36.3,11.0,15.5,1800.0,21.5,
647,100.0,80.5,64.2,54.7,42.0,28.2,38.6,11.1,15.6,1919.0,29.1,
648,100.0,74.6,56.1,42.4,32.1,20.5,36.5,11.4,11.5,1906.0,25.5,
649,100.0,73.3,55.2,44.0,32.5,20.0,36.5,11.2,11.0,2040.0,47.9,
650,100.0,81.4,64.7,56.4,44.9,31.6,34.0,11.2,16.1,1804.0,18.7,
651,100.0,80.1,64.0,54.3,42.4,29.3,37.4,11.6,15.7,1889.0,29.6,
652,100.0,75.7,60.3,49.2,38.0,25.2,37.2,11.3,12.6,1865.0,22.2,
653,100.0,75.3,58.9,48.8,36.5,23.2,37.2,11.0,12.1,1963.0,43.5,
654,100.0,77.9,59.1,45.6,33.6,20.4,38.2,11.8,12.12,1859.0,24.0,
655,100.0,76.4,58.3,45.6,33.1,19.5,37.3,11.2,11.2,1992.0,46.8,
656,100.0,85.37105938012971,74.77999406742671,72.48450348889156,28.21730384442478,3.96163932619711,37.9,5.01762748276634,9.6,1683.0,30.4,
657,100.0,85.32607974960752,74.45475421754415,72.14612061062621,27.44795702616024,3.85719174948579,41.2,8.178400088770694,10.7,1651.0,29.4,
658,100.0,85.39324533200119,74.47996608572754,72.09050809486797,27.32362707919822,3.860834702489921,36.8,3.982201828099647,10.8,1692.0,27.2,
659,100.0,85.35504675032752,74.39198234816863,71.97756240880977,27.27178306135352,4.028286620770035,34.8,0.5711534430442478,9.9,1696.0,29.1,
660,100.0,84.75722968197827,74.19006858031027,71.88576754135887,27.14735963992062,4.016702634652806,35.3,2.900104534008757,10.1,1692.0,29.1,
661,100.0,84.80416517140438,74.32356768852286,71.95986134730956,27.12362500140181,3.73080603831951,39.8,2.510381027824038,10.1,1672.0,30.3,
662,100.0,84.88009608031474,74.45602060571035,72.07289105592098,27.69570551806542,3.937901887894737,38.6,8.194517277749558,10.0,1684.0,30.3,
663,100.0,84.69885333433886,74.24166083410526,71.77826075765573,28.49472454648882,4.249827826175567,39.4,7.299603608666949,10.3,1657.0,29.7,
664,100.0,84.81741932122821,74.25365107699724,71.7717039890326,28.40618090923564,4.081432843850155,39.9,6.226805274058367,10.6,1694.0,29.1,
665,100.0,84.75525326482783,74.18477260408258,71.67658031105049,28.15084085693108,3.675040531964849,39.9,8.773545124587079,10.5,1687.0,29.7,
666,100.0,84.72914377965223,74.09693992718266,71.54948607119587,27.91091553461762,4.137538007232004,38.7,6.922956109570977,9.9,1691.0,30.3,
667,100.0,84.62093826254788,73.9667893714266,71.3879337671949,28.20277542874421,3.88892977922213,40.3,8.879504142969862,10.3,1665.0,29.7,
668,100.0,84.57393854845301,73.97131342440598,71.39985193013536,28.10912685268194,3.78754449685896,38.7,6.808949581454781,10.7,1658.0,29.1,
669,100.0,84.58,73.99537113508616,71.41403552231564,27.95488233697873,3.984171175840792,41.2,11.49054428106561,11.1,1692.0,30.6,
670,100.0,85.8941443066801,76.0115784211801,74.07265828086182,30.28645054792018,8.656756318894,47.9,16.78592189554548,10.2,1.6,31.1,
671,100.0,85.74139374657113,75.50525239819528,73.13338516107781,30.37511901831414,7.449641985629951,45.8,13.71467385808013,10.3,1651.0,32.8,
672,100.0,86.0348295057254,77.32736229823298,75.45297700758763,32.81228374525232,13.96289750349173,46.8,14.16786649065429,10.0,1621.0,27.2,
673,100.0,87.20302892514343,77.48044798884254,75.57360781914984,30.11390685571865,7.294437722785283,37.5,2.898487778882935,10.4,1592.0,30.3,
674,100.0,85.51908441649279,74.85059306333032,72.47315962613344,30.53772133174934,10.87642123865895,37.3,4.41762748276634,10.4,1647.0,32.2,
675,100.0,85.67675132647854,75.28863603296604,72.91678409814443,32.18685726760888,9.774282612649548,42.3,8.088014222370415,9.9,1669.0,32.8,
676,100.0,86.40151328970063,76.25437795530222,74.12872688748392,30.97004190996171,7.866861995745696,40.2,8.797066773384826,10.2,1675.0,31.6,
677,100.0,85.70319351612288,75.15890960883851,73.29076919897659,36.16607818776932,17.03582658720467,41.8,8.877875796004092,10.0,1656.0,32.2,
678,100.0,86.00911099054312,75.97889533415918,73.58846351803153,30.94869012502412,5.67500537441379,37.8,4.91762748276634,8.7,1693.0,30.9,
679,100.0,85.53152094397298,75.76832095161143,73.5616839594792,29.70382056828975,6.992424719011306,48.5,15.61762748276634,10.4,1633.0,30.9,
680,100.0,85.82186998207794,75.83510475532539,73.94814351668167,33.4174369421488,13.13203879505324,45.9,10.85650573650626,10.8,1597.0,33.2,
681,100.0,85.8300911353552,75.69843548568652,73.33007557185263,32.39983373867813,11.53042065030517,39.8,5.565774118892858,10.6,1677.0,32.2,
682,100.0,85.76786430576495,75.59396673739802,73.71652741732925,30.41052527129146,9.51210604965172,40.8,4.353874841750683,10.2,1679.0,32.7,
683,100.0,85.63001083310822,75.94594665451427,73.73298866250036,32.31610955255255,11.12526458609887,40.1,7.025790902021257,10.3,1595.0,32.8,
684,100.0,85.70090277454857,75.52328611848867,73.46322370888655,32.94933703291968,14.3843109708455,40.8,6.237474102163559,9.8,1635.0,30.9,
685,100.0,87.25297437668328,78.62731775503016,76.75809256336133,33.18189637353787,13.09599344229113,40.3,8.86188759819277,10.4,1651.0,28.6,
686,100.0,87.39890212534955,77.69914372485658,75.83479389843725,38.53789366088529,22.13043699787862,38.2,8.669479259445033,10.6,1681.0,32.8,
687,100.0,86.4844383445927,75.59728857166613,73.06920034066373,22.27281502688832,7.445748629658862,38.5,7.996913820712676,10.4,1646.0,31.4,
688,100.0,86.09566947206064,77.49655165972331,76.1006744151567,24.02155455621072,9.4487679290138,40.6,10.02213135558385,9.6,1693.0,32.8,
689,100.0,87.54590224005064,79.29824955967635,77.4064835885272,38.60528395593461,29.48946577691832,38.8,8.595614093192893,10.0,1651.0,32.2,
690,100.0,95.9,92.6,89.8,84.5,59.2,40.09,14.69,19.3,1561.0,9.2,
691,100.0,96.8,92.4,88.2,80.4,49.9,39.62,12.89,16.7,1788.0,13.8,
692,100.0,96.8,92.6,88.6,80.2,49.3,38.66,14.67,17.9,1792.0,10.7,
693,95.1,92.8,87.2,82.7,74.1,45.6,40.13,11.42,15.9,1728.0,12.9,
694,100.0,93.7,86.5,84.5,67.5,36.9,42.12,13.48,17.3,1751.0,12.3,
695,100.0,93.5,86.1,80.0,63.2,33.2,39.25,14.24,17.0,1744.0,14.1,
696,100.0,92.7,89.2,86.6,78.2,47.2,40.27,12.34,18.2,1518.0,10.2,
697,100.0,92.7,89.2,86.5,78.1,47.4,38.72,13.36,18.2,1506.0,9.6,
698,100.0,92.3,89.3,86.8,77.9,46.2,38.74,12.65,18.7,1485.0,9.2,
699,100.0,96.9,92.5,84.0,67.8,46.4,39.91,14.15,17.8,1569.0,11.7,
700,100.0,85.8,78.2,74.2,67.4,57.3,36.02,14.06,17.9,1528.0,12.3,
701,100.0,86.4,78.9,75.2,69.0,57.3,39.02,11.86,18.1,1526.0,11.6,
702,100.0,95.3,91.9,88.0,78.7,53.7,41.01,12.38,18.4,1492.0,11.6,
703,100.0,95.5,92.8,89.2,80.7,53.3,38.25,12.61,18.5,1499.0,10.6,
704,100.0,95.9,92.8,89.2,80.7,53.3,40.44,13.65,19.4,1512.0,12.9,
705,100.0,95.9,92.8,89.3,80.0,51.6,38.25,11.75,18.4,1479.0,11.3,
706,100.0,95.2,92.0,88.1,76.2,49.0,40.61,13.43,18.0,1526.0,11.6,
707,100.0,96.6,92.4,88.2,80.4,49.9,39.62,12.89,18.2,1565.0,13.7,
708,100.0,94.4,87.0,80.1,63.2,40.0,42.34,15.05,17.6,1579.0,14.6,
709,100.0,97.6,95.0,90.7,77.9,50.1,39.82,13.56,18.1,1704.0,11.5,
710,100.0,93.6,89.2,85.1,76.5,45.6,38.5,11.14,17.1,1721.0,12.8,
711,100.0,93.6,89.2,85.1,76.5,45.6,42.59,11.8,18.3,1993.0,16.7,
712,100.0,95.2,91.9,88.0,76.1,48.9,40.36,14.08,18.0,1658.0,12.7,
713,100.0,95.3,92.0,88.1,75.3,45.4,35.5,13.31,18.5,1625.0,13.3,
714,100.0,95.4,92.3,88.4,75.5,44.5,37.84,14.47,18.3,1615.0,12.4,
715,100.0,95.0,92.0,88.1,76.2,49.0,40.61,13.43,18.2,1526.0,11.6,
716,100.0,96.6,92.4,88.2,80.4,49.0,39.62,12.89,18.4,1505.0,15.3,
717,100.0,94.4,87.0,80.1,63.2,40.0,42.34,15.05,17.8,1533.0,14.0,
