No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
100,99.5,89.6,59.4,36.4,29.5,19.67,34.0,8.0,12.2,1940.0,36.6,
101,90.0,64.84,49.9,38.92,29.34,15.68,32.0,10.0,8.6,2025.0,60.45,
102,94.6,60.7,48.5,39.5,32.6,22.1,32.0,11.0,8.6,2005.0,45.32,
103,96.2,81.1,63.4,50.8,38.8,22.3,33.0,11.0,10.1,2064.0,57.79,
104,94.2,79.1,68.0,55.3,41.3,26.1,35.0,13.0,8.9,2133.0,49.92,
105,91.4,71.6,61.5,56.0,37.1,19.8,32.0,7.0,9.7,2096.0,39.52,
107,88.4,67.9,54.0,40.0,32.4,25.9,32.0,32.0,7.1,2151.0,54.53,
108,91.6,65.8,53.4,37.8,31.5,24.5,30.0,30.0,7.2,2143.0,57.58,
109,92.1,66.5,55.1,38.5,31.5,25.0,32.0,32.0,7.0,2165.0,60.02,
113,97.3,79.1,63.6,48.5,41.4,33.6,40.0,14.0,10.2,2036.0,58.9,
114,98.4,85.5,59.9,39.5,33.0,25.8,33.0,12.0,11.7,2090.0,54.26,
115,95.0,69.0,52.6,34.5,27.7,19.7,30.1,8.9,6.1,2116.0,85.8,
116,91.3,67.1,58.4,41.2,29.7,23.1,29.0,10.0,7.2,2120.0,115.77,
117,94.6,77.6,64.5,54.7,36.0,15.6,28.0,9.0,8.0,2115.0,82.53,
118,92.5,87.2,75.2,62.1,40.9,23.4,27.0,8.0,7.4,2093.0,45.16,
119,91.06,57.58,46.41,37.09,29.26,15.49,30.0,9.0,8.2,2047.0,27.04,
120,92.7,67.6,57.7,49.6,42.0,28.9,34.0,14.0,10.6,1935.0,21.98,
121,88.6,68.9,58.0,48.9,38.0,21.7,33.0,11.0,9.0,1983.0,24.0,
122,92.4,72.9,61.2,52.2,41.42,25.8,35.0,12.0,11.8,1853.0,42.02,
123,88.8,68.6,53.7,40.2,33.1,27.0,33.0,12.0,9.9,2008.0,39.82,
124,97.9,82.6,62.3,46.6,41.3,26.0,31.0,11.0,10.9,2064.0,38.31,
125,94.9,77.5,61.6,48.3,41.0,27.6,34.0,12.0,10.9,2036.0,40.83,
126,96.7,77.8,62.0,51.3,45.4,37.0,36.0,13.0,11.3,1790.0,37.51,
127,100.0,100.0,98.0,93.6,75.2,49.6,40.0,15.0,14.5,1688.0,12.78,
128,96.0,74.7,54.2,41.2,30.2,17.6,31.0,12.0,12.0,1937.0,31.62,
129,96.0,79.3,68.1,52.4,41.0,23.6,29.0,9.0,8.9,2035.0,74.42,
130,96.0,81.0,62.0,43.1,28.8,16.6,38.0,14.0,10.0,2046.0,24.71,
131,97.9,83.7,55.6,40.5,30.4,20.7,41.0,15.0,12.5,1931.0,43.91,
132,92.7,74.0,58.8,43.5,31.9,18.7,30.0,9.0,13.3,1931.0,22.88,
133,97.7,85.1,69.8,53.4,41.1,23.2,33.0,11.0,10.6,1979.0,20.32,
134,98.9,86.3,63.3,43.3,36.0,27.6,34.0,13.0,12.1,1938.0,26.31,
135,98.0,88.2,70.1,42.2,33.5,26.1,33.0,12.5,9.6,1996.0,33.6,
136,93.8,69.2,51.3,35.0,28.5,20.5,29.6,8.4,10.5,1994.0,33.1,
137,93.7,91.3,66.8,53.9,36.8,16.9,29.0,11.0,8.4,2035.0,41.62,
138,92.2,80.0,67.7,53.4,35.3,15.7,35.0,12.0,8.7,2029.0,45.18,
139,93.0,81.7,68.9,55.0,36.9,17.3,29.0,11.0,7.6,2081.0,49.5,
140,100.0,100.0,100.0,97.1,92.4,76.1,41.0,16.0,17.0,1592.0,13.22,
141,100.0,100.0,98.97,95.57,83.62,51.61,38.0,16.0,16.3,1603.0,8.29,
142,100.0,99.5,99.3,98.4,94.3,52.1,37.0,17.0,16.1,1762.0,15.85,
143,100.0,100.0,99.5,98.5,93.1,50.2,37.0,15.0,17.4,1664.0,11.2,
144,97.0,88.9,85.4,80.9,70.3,46.9,35.0,15.0,16.3,1595.0,7.43,
