ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
495,100.0,96.5,93.2,90.4,87.5,81.8,46.3,11.3,29.5,1493.0,8.3
496,100.0,98.6,97.2,95.6,90.8,86.4,47.3,9.4,30.9,1422.0,7.1
497,100.0,98.7,95.3,92.9,88.7,83.1,44.5,10.9,28.3,1487.0,9.3
498,100.0,99.4,96.5,91.8,89.2,81.5,42.1,7.6,29.1,1455.0,8.6
499,100.0,99.1,97.6,93.4,87.3,78.6,39.8,7.3,27.4,1509.0,8.1
500,100.0,100.0,98.1,95.4,90.2,85.6,50.2,9.9,31.8,1391.0,9.8
501,100.0,98.1,96.4,91.7,86.4,80.5,47.8,10.6,29.5,1438.0,8.4
502,100.0,100.0,100.0,100.0,96.8,38.0,32.8,6.2,14.0,1701.0,10.9
503,100.0,100.0,100.0,100.0,96.9,74.1,47.6,8.9,22.2,1593.0,6.9
504,100.0,100.0,100.0,100.0,95.7,74.3,45.7,11.3,21.4,1616.0,6.3
505,100.0,95.6,84.0,65.5,53.8,21.8,45.7,11.3,9.5,1949.0,34.7
506,100.0,100.0,100.0,100.0,95.8,75.3,43.6,10.6,21.9,1605.0,5.6
507,100.0,100.0,100.0,100.0,97.2,85.9,47.4,6.1,22.6,1519.0,6.3
508,100.0,100.0,100.0,100.0,96.9,74.1,41.7,13.6,21.0,1612.0,6.3
509,100.0,100.0,100.0,100.0,90.9,55.3,38.7,12.6,14.8,1638.0,7.7
510,100.0,100.0,100.0,100.0,93.5,68.7,38.7,16.0,16.6,1656.0,6.8
511,100.0,100.0,100.0,100.0,88.8,70.4,43.4,15.1,15.0,1591.0,7.2
512,100.0,100.0,100.0,100.0,92.7,78.4,42.6,13.8,22.7,1620.0,6.9
513,100.0,95.1,79.5,71.4,60.9,51.3,37.6,12.5,16.3,1731.0,13.8
514,100.0,94.2,79.1,7.07,58.9,47.4,34.5,14.1,15.7,1710.0,13.7
515,100.0,100.0,100.0,100.0,92.0,77.7,44.4,10.2,24.5,1607.0,6.3
516,100.0,100.0,100.0,100.0,94.7,82.2,43.8,13.6,22.5,1596.0,6.8
517,100.0,100.0,100.0,100.0,95.2,74.3,38.8,18.4,17.7,1659.0,8.8
518,100.0,100.0,100.0,100.0,93.6,80.3,41.6,13.9,22.3,1605.0,7.3
519,100.0,100.0,100.0,100.0,91.8,65.3,39.7,11.5,15.1,1641.0,6.6
520,100.0,100.0,100.0,100.0,91.7,77.9,42.8,14.6,22.8,1635.0,7.7
521,100.0,100.0,100.0,100.0,94.2,74.8,38.6,16.4,17.3,1665.0,7.7
522,100.0,100.0,100.0,100.0,96.2,78.5,39.8,16.4,18.7,1647.0,6.9
523,100.0,100.0,100.0,100.0,94.1,74.6,39.7,16.5,16.4,1650.0,8.2
524,100.0,100.0,100.0,100.0,92.3,78.3,41.7,19.9,22.3,1625.0,6.9
525,100.0,100.0,100.0,100.0,93.7,80.9,46.7,10.5,24.3,1561.0,5.7
526,100.0,100.0,100.0,100.0,93.1,78.4,42.7,11.3,22.3,1618.0,6.4
527,100.0,100.0,100.0,100.0,92.0,83.4,45.4,8.7,22.3,1547.0,4.7
528,100.0,100.0,100.0,100.0,97.1,86.8,46.6,10.4,23.2,1561.0,5.9
529,100.0,100.0,100.0,100.0,92.7,79.3,42.9,16.1,21.9,1602.0,6.1
530,100.0,100.0,100.0,100.0,94.3,75.8,38.7,16.7,16.8,1674.0,7.6
531,100.0,100.0,100.0,100.0,91.5,78.4,42.4,15.2,22.8,1629.0,7.0
532,100.0,100.0,100.0,100.0,95.1,74.2,40.6,16.4,15.5,1673.0,8.9
533,100.0,100.0,100.0,100.0,95.1,76.7,37.7,17.0,16.3,1643.0,6.8
534,100.0,100.0,100.0,100.0,94.9,73.7,38.0,17.0,17.8,1664.0,9.0
535,100.0,100.0,100.0,100.0,92.0,77.6,40.6,14.3,22.3,1640.0,7.3
536,100.0,100.0,100.0,100.0,94.4,75.0,39.6,16.7,15.1,1668.0,7.7
537,100.0,100.0,100.0,100.0,97.6,87.4,43.9,13.6,21.7,1537.0,5.0
538,100.0,100.0,100.0,100.0,95.5,87.1,43.5,11.0,23.7,1593.0,4.5
539,100.0,100.0,100.0,100.0,92.5,78.9,42.7,13.2,21.2,1618.0,6.9
540,100.0,100.0,100.0,100.0,96.6,87.4,45.7,15.0,23.0,1571.0,4.4
541,100.0,84.8,61.9,43.7,36.0,31.5,38.5,12.5,17.1,1831.0,14.7
542,100.0,95.8,80.1,66.6,50.9,44.4,36.9,8.7,15.6,1870.0,19.5
543,100.0,100.0,100.0,100.0,93.7,48.0,33.7,13.3,15.0,1739.0,7.1
544,100.0,82.0,64.9,49.9,37.1,31.4,32.7,8.2,12.8,1905.0,24.8
545,100.0,100.0,100.0,100.0,94.8,79.5,44.7,13.6,21.1,1607.0,7.5
546,100.0,100.0,86.7,78.4,69.0,61.4,42.6,13.9,19.3,1702.0,14.6
547,100.0,100.0,88.9,81.2,71.1,64.4,42.4,13.4,20.9,1644.0,9.5
548,100.0,100.0,100.0,100.0,93.4,76.8,39.6,16.7,18.6,1675.0,7.1
549,100.0,100.0,100.0,100.0,93.8,77.5,40.4,16.8,19.6,1673.0,7.1
550,100.0,100.0,100.0,100.0,94.3,76.7,38.0,16.6,18.1,1672.0,7.8
551,100.0,100.0,100.0,100.0,94.1,77.3,39.8,17.4,18.6,1644.0,7.9
552,100.0,100.0,100.0,100.0,94.7,25.1,41.5,17.6,17.9,1653.0,7.6
553,100.0,100.0,100.0,100.0,97.5,38.8,37.9,13.5,14.0,1702.0,10.8
554,100.0,100.0,100.0,100.0,96.6,40.9,39.7,14.0,15.4,1733.0,11.3
555,100.0,100.0,100.0,100.0,94.7,65.5,35.9,13.5,14.8,1707.0,11.3
556,100.0,100.0,100.0,100.0,93.8,64.1,38.0,13.9,14.8,1726.0,12.1
557,100.0,100.0,100.0,100.0,96.5,37.8,37.5,13.3,14.6,1783.0,11.7
558,100.0,100.0,100.0,100.0,95.8,41.0,39.4,15.4,14.0,1625.0,9.1
559,100.0,100.0,100.0,100.0,95.8,81.4,41.6,14.4,19.1,1605.0,6.6
560,100.0,98.0,88.5,69.2,59.2,29.5,33.5,10.7,11.8,1976.0,22.5
561,100.0,100.0,100.0,100.0,94.7,78.4,40.9,16.8,20.1,1689.0,7.0
562,100.0,100.0,100.0,100.0,95.5,78.4,42.5,16.4,20.2,1666.0,6.5
563,100.0,95.1,82.5,71.6,57.9,48.1,36.8,13.2,14.2,1842.0,18.5
564,100.0,94.4,82.6,71.5,56.0,47.2,33.5,11.3,14.0,1865.0,18.5
565,100.0,100.0,100.0,100.0,96.5,80.7,42.7,18.5,18.1,1656.0,6.1
566,100.0,96.2,81.8,69.4,54.3,46.2,40.9,16.6,14.7,1766.0,18.2
567,100.0,100.0,100.0,100.0,96.4,79.0,39.7,17.3,18.5,1679.0,8.2
568,100.0,100.0,100.0,100.0,94.8,77.8,40.9,16.8,17.3,1662.0,8.6
569,100.0,100.0,100.0,100.0,95.2,77.8,38.6,17.6,18.6,1667.0,8.5
570,100.0,100.0,100.0,100.0,95.0,77.9,40.5,15.9,19.5,1672.0,8.1
571,100.0,100.0,100.0,100.0,95.5,78.4,40.7,16.7,19.9,1661.0,8.1
572,100.0,100.0,100.0,100.0,95.4,78.0,39.9,16.8,18.3,1642.0,8.6
573,100.0,100.0,100.0,100.0,95.6,78.6,38.7,17.1,17.6,1647.0,8.0
574,100.0,100.0,100.0,100.0,94.4,77.0,40.6,16.6,17.8,1656.0,9.3
575,100.0,96.6,82.4,69.2,54.9,47.7,38.7,16.3,14.2,1877.0,21.0
576,100.0,100.0,100.0,100.0,97.2,85.9,41.6,11.9,22.4,1589.0,4.7
577,100.0,100.0,100.0,100.0,93.7,78.0,39.7,16.9,17.9,1676.0,8.1
578,100.0,100.0,100.0,100.0,96.4,83.9,45.8,13.7,21.5,1604.0,5.6
579,100.0,100.0,88.4,80.8,73.5,51.9,37.6,13.7,15.9,1682.0,9.9
580,100.0,100.0,89.1,81.9,76.1,54.6,36.6,13.6,15.6,1667.0,9.4
581,100.0,100.0,90.2,82.9,74.3,54.0,36.2,14.0,15.4,1674.0,9.6
582,100.0,100.0,86.3,77.9,68.9,49.9,37.6,13.6,15.3,1705.0,10.6
583,100.0,100.0,89.1,81.7,73.1,53.1,36.7,14.3,16.4,1678.0,9.5
584,89.8,60.8,32.6,22.2,16.7,14.0,24.8,4.7,10.3,2091.0,46.6
585,88.7,59.9,32.2,21.3,16.5,13.8,24.8,5.1,9.6,2090.0,48.5
586,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.7,2108.0,46.7
587,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,10.5,2080.0,44.8
588,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2141.0,49.1
589,85.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.9,2091.0,48.8
590,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,10.0,2110.0,47.2
591,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,9.9,2107.0,48.7
592,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,9.9,2112.0,48.7
593,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,9.7,2125.0,50.3
594,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,9.6,2120.0,52.2
595,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,9.6,2142.0,53.0
596,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,9.6,2178.0,54.9
597,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.2,2110.0,52.2
598,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,9.6,2198.0,52.7
599,89.8,60.8,32.6,22.2,16.7,14.0,22.8,4.5,9.1,2551.0,83.0
600,88.7,59.9,32.2,21.3,16.5,13.8,23.8,4.1,10.5,2175.0,85.6
601,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.4,2168.0,86.9
602,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,8.9,2170.0,88.3
603,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2162.0,84.6
604,88.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.7,2149.0,85.1
605,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,9.9,2127.0,85.2
606,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,10.3,2185.0,87.3
607,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,10.6,2170.0,87.4
608,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,10.5,2183.0,90.6
609,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,10.5,2255.0,90.1
610,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,10.1,2092.0,87.9
611,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,10.6,2187.0,86.4
612,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.7,2246.0,88.5
613,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,10.1,2239.0,88.6
614,100.0,100.0,100.0,100.0,93.71,55.27,28.07,8.31,13.6,1610.0,8.2
615,100.0,100.0,100.0,100.0,94.1,56.29,30.46,9.45,15.6,1582.0,7.78
616,100.0,100.0,100.0,100.0,95.83,60.4,29.61,11.0,16.3,1607.0,9.42
617,100.0,100.0,100.0,100.0,95.74,61.63,31.16,10.99,17.6,1599.0,9.79
618,100.0,100.0,100.0,100.0,94.82,59.07,32.46,12.43,16.0,1659.0,8.05
619,100.0,100.0,100.0,100.0,95.22,53.33,27.74,9.99,16.0,1591.0,9.2
620,100.0,100.0,100.0,100.0,95.33,54.51,29.18,10.31,17.1,1628.0,9.45
621,100.0,73.7,56.5,47.0,43.9,25.0,29.3,9.1,8.5,1376.0,34.8
622,100.0,76.1,59.9,49.3,45.5,23.7,30.8,10.3,8.1,1443.0,38.4
623,100.0,100.0,98.9,96.5,90.8,68.3,32.0,13.0,12.0,1707.0,3.2
624,100.0,100.0,100.0,91.8,54.7,31.2,34.0,20.0,16.4,1645.0,5.4
625,100.0,100.0,100.0,99.4,95.4,85.4,65.0,18.0,32.4,1375.0,10.0
626,100.0,100.0,100.0,99.6,97.3,89.9,54.0,18.0,27.6,1496.0,12.4
627,100.0,100.0,100.0,99.4,96.4,89.0,36.0,12.0,26.8,1523.0,9.4
628,100.0,100.0,100.0,99.4,92.4,80.9,54.0,17.0,24.9,1565.0,11.8
629,100.0,100.0,100.0,98.4,91.4,76.2,44.0,18.0,22.7,1551.0,10.9
630,100.0,100.0,99.8,97.0,99.6,69.9,36.0,12.0,21.7,1598.0,5.6
631,100.0,100.0,100.0,100.0,99.6,69.9,36.0,12.0,22.2,1512.0,11.2
