ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
535,100,100,100,100,92,"77,6","40,6","14,3","22,3",1640,"7,3"
536,100,100,100,100,"94,4",75,"39,6","16,7","15,1",1668,"7,7"
537,100,100,100,100,"97,6","87,4","43,9","13,6","21,7",1537,5
538,100,100,100,100,"95,5","87,1","43,5",11,"23,7",1593,"4,5"
539,100,100,100,100,"92,5","78,9","42,7","13,2","21,2",1618,"6,9"
540,100,100,100,100,"96,6","87,4","45,7",15,23,1571,"4,4"
541,100,"84,8","61,9","43,7",36,"31,5","38,5","12,5","17,1",1831,"14,7"
542,100,"95,8","80,1","66,6","50,9","44,4","36,9","8,7","15,6",1870,"19,5"
543,100,100,100,100,"93,7",48,"33,7","13,3",15,1739,"7,1"
544,100,82,"64,9","49,9","37,1","31,4","32,7","8,2","12,8",1905,"24,8"
545,100,100,100,100,"94,8","79,5","44,7","13,6","21,1",1607,"7,5"
546,100,100,"86,7","78,4",69,"61,4","42,6","13,9","19,3",1702,"14,6"
547,100,100,"88,9","81,2","71,1","64,4","42,4","13,4","20,9",1644,"9,5"
548,100,100,100,100,"93,4","76,8","39,6","16,7","18,6",1675,"7,1"
549,100,100,100,100,"93,8","77,5","40,4","16,8","19,6",1673,"7,1"
550,100,100,100,100,"94,3","76,7",38,"16,6","18,1",1672,"7,8"
551,100,100,100,100,"94,1","77,3","39,8","17,4","18,6",1644,"7,9"
552,100,100,100,100,"94,7","25,1","41,5","17,6","17,9",1653,"7,6"
553,100,100,100,100,"97,5","38,8","37,9","13,5",14,1702,"10,8"
554,100,100,100,100,"96,6","40,9","39,7",14,"15,4",1733,"11,3"
555,100,100,100,100,"94,7","65,5","35,9","13,5","14,8",1707,"11,3"
556,100,100,100,100,"93,8","64,1",38,"13,9","14,8",1726,"12,1"
557,100,100,100,100,"96,5","37,8","37,5","13,3","14,6",1783,"11,7"
558,100,100,100,100,"95,8",41,"39,4","15,4",14,1625,"9,1"
559,100,100,100,100,"95,8","81,4","41,6","14,4","19,1",1605,"6,6"
560,100,98,"88,5","69,2","59,2","29,5","33,5","10,7","11,8",1976,"22,5"
561,100,100,100,100,"94,7","78,4","40,9","16,8","20,1",1689,7
562,100,100,100,100,"95,5","78,4","42,5","16,4","20,2",1666,"6,5"
563,100,"95,1","82,5","71,6","57,9","48,1","36,8","13,2","14,2",1842,"18,5"
564,100,"94,4","82,6","71,5",56,"47,2","33,5","11,3",14,1865,"18,5"
565,100,100,100,100,"96,5","80,7","42,7","18,5","18,1",1656,"6,1"
566,100,"96,2","81,8","69,4","54,3","46,2","40,9","16,6","14,7",1766,"18,2"
567,100,100,100,100,"96,4",79,"39,7","17,3","18,5",1679,"8,2"
568,100,100,100,100,"94,8","77,8","40,9","16,8","17,3",1662,"8,6"
569,100,100,100,100,"95,2","77,8","38,6","17,6","18,6",1667,"8,5"
570,100,100,100,100,95,"77,9","40,5","15,9","19,5",1672,"8,1"
571,100,100,100,100,"95,5","78,4","40,7","16,7","19,9",1661,"8,1"
572,100,100,100,100,"95,4",78,"39,9","16,8","18,3",1642,"8,6"
573,100,100,100,100,"95,6","78,6","38,7","17,1","17,6",1647,8
574,100,100,100,100,"94,4",77,"40,6","16,6","17,8",1656,"9,3"
575,100,"96,6","82,4","69,2","54,9","47,7","38,7","16,3","14,2",1877,21
576,100,100,100,100,"97,2","85,9","41,6","11,9","22,4",1589,"4,7"
577,100,100,100,100,"93,7",78,"39,7","16,9","17,9",1676,"8,1"
578,100,100,100,100,"96,4","83,9","45,8","13,7","21,5",1604,"5,6"
579,100,100,"88,4","80,8","73,5","51,9","37,6","13,7","15,9",1682,"9,9"
580,100,100,"89,1","81,9","76,1","54,6","36,6","13,6","15,6",1667,"9,4"
581,100,100,"90,2","82,9","74,3",54,"36,2",14,"15,4",1674,"9,6"
582,100,100,"86,3","77,9","68,9","49,9","37,6","13,6","15,3",1705,"10,6"
583,100,100,"89,1","81,7","73,1","53,1","36,7","14,3","16,4",1678,"9,5"
584,"89,8","60,8","32,6","22,2","16,7",14,"24,8","4,7","10,3",2091,"46,6"
585,"88,7","59,9","32,2","21,3","16,5","13,8","24,8","5,1","9,6",2090,"48,5"
586,"88,5","58,3","30,5",21,"16,2","13,6","24,6","5,3","9,7",2108,"46,7"
587,"89,1","59,7","31,2","21,1","15,5","13,1","24,6","4,6","10,5",2080,"44,8"
588,"89,1","59,3",31,"20,7","15,9","13,7","23,9","5,6","9,5",2141,"49,1"
589,"85,5","59,3","31,7",22,17,"14,5","23,7","5,3","9,9",2091,"48,8"
590,"88,6","59,9","31,8",22,"16,7","14,1","24,4","4,3",10,2110,"47,2"
591,"89,6","60,9","32,7","22,3","16,8","13,7","23,5","4,6","9,9",2107,"48,7"
592,"88,4","57,9",31,"21,2","16,1","13,8","23,8","4,9","9,9",2112,"48,7"
593,"88,4","57,8",31,"21,1",16,"13,7","23,5","4,1","9,7",2125,"50,3"
594,"88,4","57,8","30,8","20,9",16,"13,7","23,1","4,2","9,6",2120,"52,2"
595,"88,3","57,7","30,6","20,7","15,6","13,4","22,9","3,8","9,6",2142,53
596,"88,3","57,8","30,8",21,16,"13,6","22,8","3,9","9,6",2178,"54,9"
597,"88,4",58,"30,9",21,16,"13,8",23,"3,7","10,2",2110,"52,2"
598,"88,4","58,2","31,1","21,2","16,2","13,8","23,2","3,1","9,6",2198,"52,7"
599,"89,8","60,8","32,6","22,2","16,7",14,"22,8","4,5","9,1",2551,83
600,"88,7","59,9","32,2","21,3","16,5","13,8","23,8","4,1","10,5",2175,"85,6"
601,"88,5","58,3","30,5",21,"16,2","13,6","24,6","5,3","9,4",2168,"86,9"
602,"89,1","59,7","31,2","21,1","15,5","13,1","24,6","4,6","8,9",2170,"88,3"
603,"89,1","59,3",31,"20,7","15,9","13,7","23,9","5,6","9,5",2162,"84,6"
604,"88,5","59,3","31,7",22,17,"14,5","23,7","5,3","9,7",2149,"85,1"
605,"88,6","59,9","31,8",22,"16,7","14,1","24,4","4,3","9,9",2127,"85,2"
606,"89,6","60,9","32,7","22,3","16,8","13,7","23,5","4,6","10,3",2185,"87,3"
607,"88,4","57,9",31,"21,2","16,1","13,8","23,8","4,9","10,6",2170,"87,4"
608,"88,4","57,8",31,"21,1",16,"13,7","23,5","4,1","10,5",2183,"90,6"
609,"88,4","57,8","30,8","20,9",16,"13,7","23,1","4,2","10,5",2255,"90,1"
610,"88,3","57,7","30,6","20,7","15,6","13,4","22,9","3,8","10,1",2092,"87,9"
611,"88,3","57,8","30,8",21,16,"13,6","22,8","3,9","10,6",2187,"86,4"
612,"88,4",58,"30,9",21,16,"13,8",23,"3,7","10,7",2246,"88,5"
613,"88,4","58,2","31,1","21,2","16,2","13,8","23,2","3,1","10,1",2239,"88,6"
614,100,100,100,100,"93,71","55,27","28,07","8,31","13,6",1610,"8,2"
615,100,100,100,100,"94,1","56,29","30,46","9,45","15,6",1582,"7,78"
616,100,100,100,100,"95,83","60,4","29,61",11,"16,3",1607,"9,42"
617,100,100,100,100,"95,74","61,63","31,16","10,99","17,6",1599,"9,79"
618,100,100,100,100,"94,82","59,07","32,46","12,43",16,1659,"8,05"
619,100,100,100,100,"95,22","53,33","27,74","9,99",16,1591,"9,2"
620,100,100,100,100,"95,33","54,51","29,18","10,31","17,1",1628,"9,45"
621,100,"73,7","56,5",47,"43,9",25,"29,3","9,1","8,5",1376,"34,8"
622,100,"76,1","59,9","49,3","45,5","23,7","30,8","10,3","8,1",1443,"38,4"
623,100,100,"98,9","96,5","90,8","68,3",32,13,12,1707,"3,2"
624,100,100,100,"91,8","54,7","31,2",34,20,"16,4",1645,"5,4"
625,100,100,100,"99,4","95,4","85,4",65,18,"32,4",1375,10
626,100,100,100,"99,6","97,3","89,9",54,18,"27,6",1496,"12,4"
627,100,100,100,"99,4","96,4",89,36,12,"26,8",1523,"9,4"
628,100,100,100,"99,4","92,4","80,9",54,17,"24,9",1565,"11,8"
629,100,100,100,"98,4","91,4","76,2",44,18,"22,7",1551,"10,9"
630,100,100,"99,8",97,"99,6","69,9",36,12,"21,7",1598,"5,6"
631,100,100,100,100,"99,6","69,9",36,12,"22,2",1512,"11,2"
632,100,100,"99,8","97,8","91,5","43,8",25,10,"16,2",1734,"10,4"
